,Chapter number in book,Chapter name,POV,Location,Storyline,Storyline2,In show yet?
A Clash of Kings,20,Tyrion V,Tyrion,KL,KL,,1
A Clash of Kings,21,Bran III,Bran,North,Bran,,1
A Clash of Kings,22,Catelyn II,Catelyn,South,Stark,Stannis,1
A Clash of Kings,23,Jon III,Jon,Beyond,night,,1
A Clash of Kings,24,Theon II,Theon,Iron,Greyjoy,,1
A Clash of Kings,25,Tyrion VI,Tyrion,KL,KL,,1
A Clash of Kings,26,Arya VI,Arya,Riverlands,Arya,,1
A Clash of Kings,27,Daenerys II,Daenerys,Essos,Daenerys,,1
A Clash of Kings,28,Bran IV,Bran,North,Bran,,1
A Clash of Kings,29,Tyrion VII,Tyrion,KL,KL,,1
A Clash of Kings,30,Arya VII,Arya,Riverlands,Arya,,1
A Clash of Kings,31,Catelyn III,Catelyn,South,Stark,Stannis,1
A Clash of Kings,32,Sansa III,Sansa,KL,KL,,1
A Clash of Kings,33,Catelyn IV,Catelyn,South,Stark,,1
A Clash of Kings,34,Jon IV,Jon,Beyond,night,,1
A Clash of Kings,35,Bran V,Bran,North,Bran,,1
A Clash of Kings,36,Tyrion VIII,Tyrion,KL,KL,,1
A Clash of Kings,37,Theon III,Theon,North,Greyjoy,,1
A Clash of Kings,38,Arya VIII,Arya,Riverlands,Arya,,1
A Clash of Kings,39,Catelyn V,Catelyn,Riverlands,Stark,,1
A Clash of Kings,40,Daenerys III,Daenerys,Essos,Daenerys,,1
A Clash of Kings,41,Tyrion IX,Tyrion,KL,KL,,1
A Clash of Kings,42,Davos II,Davos,Dragonstone,Stannis,,1
A Clash of Kings,43,Jon V,Jon,Beyond,night,,1
A Clash of Kings,44,Tyrion X,Tyrion,KL,KL,,1
A Clash of Kings,45,Catelyn VI,Catelyn,Riverlands,Stark,,1
A Clash of Kings,46,Bran VI,Bran,North,Bran,,1
A Clash of Kings,47,Arya IX,Arya,Riverlands,Arya,,1
A Clash of Kings,48,Daenerys IV,Daenerys,Essos,Daenerys,,1
A Clash of Kings,49,Tyrion XI,Tyrion,KL,KL,,1
A Clash of Kings,50,Theon IV,Theon,North,Greyjoy,,1
A Clash of Kings,51,Jon VI,Jon,Beyond,night,,1
A Clash of Kings,52,Sansa IV,Sansa,KL,KL,,1
A Clash of Kings,53,Jon VII,Jon,Beyond,night,,1
A Clash of Kings,54,Tyrion XII,Tyrion,KL,KL,,1
A Clash of Kings,55,Catelyn VII,Catelyn,Riverlands,Stark,,1
A Clash of Kings,56,Theon V,Theon,North,Greyjoy,,1
A Clash of Kings,57,Sansa V,Sansa,KL,KL,,1
A Clash of Kings,58,Davos III,Davos,KL,KL,,1
A Clash of Kings,59,Tyrion XIII,Tyrion,KL,KL,,1
A Clash of Kings,60,Sansa VI,Sansa,KL,KL,,1
A Clash of Kings,61,Tyrion XIV,Tyrion,KL,KL,,1
A Clash of Kings,62,Sansa VII,Sansa,KL,KL,,1
A Clash of Kings,63,Daenerys V,Daenerys,Essos,Daenerys,,1
A Clash of Kings,64,Arya X,Arya,Riverlands,Arya,,1
A Clash of Kings,65,Sansa VIII,Sansa,KL,KL,,1
A Clash of Kings,66,Theon VI,Theon,North,Greyjoy,,1
A Clash of Kings,67,Tyrion XV,Tyrion,KL,KL,,1
A Clash of Kings,68,Jon VIII,Jon,Beyond,night,,1
A Clash of Kings,69,Bran VII,Bran,North,Bran,,1
,,,,,,,
A Storm of Swords,0,Prologue,Other,Beyond,night,,1
A Storm of Swords,1,Jaime I,Jaime,Riverlands,Brienne,,1
A Storm of Swords,2,Catelyn I,Catelyn,Riverlands,Stark,,1
A Storm of Swords,3,Arya I,Arya,Riverlands,Arya,,1
A Storm of Swords,4,Tyrion I,Tyrion,KL,KL,,1
A Storm of Swords,5,Davos I,Davos,Dragonstone,Stannis,,1
A Storm of Swords,6,Sansa I,Sansa,KL,KL,,1
A Storm of Swords,7,Jon I,Jon,Beyond,wildling,,1
A Storm of Swords,8,Daenerys I,Daenerys,Essos,Daenerys,,1
A Storm of Swords,9,Bran I,Bran,North,Bran,,1
A Storm of Swords,10,Davos II,Davos,Dragonstone,Stannis,,1
A Storm of Swords,11,Jaime II,Jaime,Riverlands,Brienne,,1
A Storm of Swords,12,Tyrion II,Tyrion,KL,KL,,1
A Storm of Swords,13,Arya II,Arya,Riverlands,Arya,,1
A Storm of Swords,14,Catelyn II,Catelyn,Riverlands,Stark,,1
A Storm of Swords,15,Jon II,Jon,Beyond,wildling,,1
A Storm of Swords,16,Sansa II,Sansa,KL,KL,,1
A Storm of Swords,17,Arya III,Arya,Riverlands,Arya,,1
A Storm of Swords,18,Samwell I,Samwell,Beyond,night,,1
